direction,records,records_loosened,records_tightened,published_name,gbif_species,old_taxon_id,old_taicol_id,old_scientific_name,old_common_name_zh,new_taxon_id,new_taicol_id,new_scientific_name,new_common_name_zh,precision_before,precision_after,resolved_via,note
unresolved,3,0,0,Turdidae,,,,,,,,,,coarse_10km 3,coarse_10km 3,,not identified to species
unresolved,3,0,0,Eothenomys melanogaster,,62784,t0062784,Eothenomys melanogaster,,,,,,exact 3,exact 3,,"the published name matches Eothenomys melanogaster, which TaiCOL does not record in Taiwan. TaiCOL resolves it to t0105743 Eothenomys colurnus — a biologist should confirm before it is applied"
unresolved,3,0,0,Laniidae,,,,,,,,,,coarse_10km 3,coarse_10km 3,,not identified to species
unresolved,3,0,0,Apodidae,,,,,,,,,,coarse_10km 3,coarse_10km 3,,not identified to species
unresolved,3,0,0,"Niviventer J.T.Marshall Jr., 1976",,,,,,,,,,coarse_10km 3,coarse_10km 3,,not identified to species
unresolved,2,0,0,"Cuculus Linnaeus, 1758",,,,,,,,,,coarse_10km 2,coarse_10km 2,,not identified to species
unresolved,2,0,0,"Accipiter Brisson, 1760",,,,,,,,,,coarse_10km 2,coarse_10km 2,,not identified to species
unresolved,2,0,0,"Egretta T.Forster, 1817",,,,,,,,,,coarse_10km 2,coarse_10km 2,,not identified to species
unresolved,2,0,0,"Helice De Haan, 1833",,,,,,,,,,coarse_10km 2,coarse_10km 2,,not identified to species
unresolved,2,0,0,Emberizidae,,,,,,,,,,coarse_10km 2,coarse_10km 2,,not identified to species
unresolved,2,0,0,"Mauremys Ritgen, 1828",,,,,,,,,,coarse_10km 2,coarse_10km 2,,not identified to species
unresolved,2,0,0,"Ficedula Brisson, 1760",,,,,,,,,,coarse_10km 2,coarse_10km 2,,not identified to species
unresolved,2,0,0,"Eptesicus Rafinesque, 1820",,,,,,,,,,coarse_10km 2,coarse_10km 2,,not identified to species
unresolved,2,0,0,Phylloscopidae,,,,,,,,,,coarse_10km 2,coarse_10km 2,,not identified to species
unresolved,2,0,0,"Chiromantes Gistel, 1848",,,,,,,,,,coarse_10km 2,coarse_10km 2,,not identified to species
unresolved,2,0,0,Estrildidae,,,,,,,,,,coarse_10km 2,coarse_10km 2,,not identified to species
unresolved,2,0,0,"Sphenomorphus Fitzinger, 1843",,,,,,,,,,coarse_10km 2,coarse_10km 2,,not identified to species
unresolved,2,0,0,"Polypedates Tschudi, 1838",,,,,,,,,,coarse_10km 2,coarse_10km 2,,not identified to species
unresolved,2,0,0,Podicipedidae,,,,,,,,,,coarse_10km 2,coarse_10km 2,,not identified to species
unresolved,2,0,0,"Phylloscopus F.Boie, 1826",,,,,,,,,,coarse_10km 2,coarse_10km 2,,not identified to species
unresolved,2,0,0,Grapsidae,,,,,,,,,,coarse_10km 2,coarse_10km 2,,not identified to species
unresolved,1,0,0,"Cisticola Kaup, 1829",,,,,,,,,,coarse_10km 1,coarse_10km 1,,not identified to species
unresolved,1,0,0,Leporidae,,,,,,,,,,coarse_10km 1,coarse_10km 1,,not identified to species
unresolved,1,0,0,Gaviidae,,,,,,,,,,coarse_10km 1,coarse_10km 1,,not identified to species
unresolved,1,0,0,"Streptopelia Bonaparte, 1855",,,,,,,,,,coarse_10km 1,coarse_10km 1,,not identified to species
unresolved,1,0,0,"Microhyla Tschudi, 1838",,,,,,,,,,coarse_10km 1,coarse_10km 1,,not identified to species
unresolved,1,0,0,Hipposideridae,,,,,,,,,,coarse_10km 1,coarse_10km 1,,not identified to species
unresolved,1,0,0,Delphinidae,,,,,,,,,,coarse_10km 1,coarse_10km 1,,not identified to species
unresolved,1,0,0,Dicroglossidae,,,,,,,,,,coarse_10km 1,coarse_10km 1,,not identified to species
unresolved,1,0,0,Pycnonotidae,,,,,,,,,,coarse_10km 1,coarse_10km 1,,not identified to species
